	DO NOT USE	Batch User	Batch Name	Seq ID	Model Name	Model Description	Model ID (Update Only)	Model Version	Context	Primary Modeling Language	Model Type	Element Name	Element Physical Name	Element Description	Element Type	Characteristic Name	Characteristic Physical Name	Characteristics Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic Mandatory	Characteristics PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group (Optional if no CDE is associated)	Comments	Characteristic FK?	FK Element Name	FK Element Name
32		pihl	CRDC Batch 1	33	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	program	program		Node	crdc_program_id	crdc_program_id		text	string				No					program				
33		pihl	CRDC Batch 1	34	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	program	program		Node	short_name	short_name		text	string				No			11459812.0						
34		pihl	CRDC Batch 1	35	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	program	program		Node	name	name		text	string				No			11459810.0						
35		pihl	CRDC Batch 1	36	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	project	project		Node	short_name	short_name		text	string				No			11459812.0						
36		pihl	CRDC Batch 1	37	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	project	project		Node	crdc_project_id	crdc_project_id		text	stirng				No					project				
37		pihl	CRDC Batch 1	38	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	project	project		Node	name	name		text	string				No			11459810.0						
38		pihl	CRDC Batch 1	39	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	specimen	specimen		Node	crdc_specimen_id	crdc_specimen_id		text	string				No					specimen				
39		pihl	CRDC Batch 1	40	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	specimen	specimen		Node	tissue_disease_status	tissue_disease_status		text	code				No					specimen				
40		pihl	CRDC Batch 1	41	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	specimen	specimen		Node	uberon_specimen_anatomic_site	uberon_specimen_anatomic_site		text	code				No			12083894.0						
41		pihl	CRDC Batch 1	42	CRDC Search	CRDC Search Data model		1.3	CRDC	YAML	Physical Model	specimen_identifier	specimen_identifier		Node	component_field_name	component_field_name		text	string				No					specimen_identifier				
